"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price GBP"
"1","5","220-2148-ND","ICE40HX8K-BG121","IC FPGA 93 I/O 121CABGA","","5","0","6.11000","30.55"
"2","50","1276-CL10B104KB8NNNLCT-ND","CL10B104KB8NNNL","CAP CER 0.1UF 50V X7R 0603","","50","0","0.01180","0.59"
"3","12","490-GRM188R61E106KA73JCT-ND","GRM188R61E106KA73J","CAP CER 10UF 25V X5R 0603","","12","0","0.16700","2.00"
"4","12","445-11710-1-ND","C3216JB1E336M160AC","CAP CER 33UF 25V JB 1206","","12","0","0.58600","7.03"
"5","10","1292-1386-1-ND","0603B103K500CT","CAP CER 10000PF 50V X7R 0603","","10","0","0.01900","0.19"
"6","10","478-1175-1-ND","06035A101JAT2A","CAP CER 100PF 50V C0G/NP0 0603","","10","0","0.05500","0.55"
"7","10","1276-1063-1-ND","CL10B473KB8NNNC","CAP CER 0.047UF 50V X7R 0603","","10","0","0.02300","0.23"
"8","6","296-49513-1-ND","TPSM84209RKHT","DC DC CONVERTER 1.2-6V 15W","","6","0","3.39000","20.34"
"9","2","LE25U20AQGTXGOSCT-ND","LE25U20AQGTXG","IC FLASH 2MBIT SPI 30MHZ 8WDFN","","2","0","0.42000","0.84"
"10","2","535-11176-1-ND","ASDMB-50.000MHZ-LY-T","MEMS OSC XO 50.0000MHZ LVCMOS","","2","0","1.89000","3.78"
"11","2","LM555CMX/NOPBCT-ND","LM555CMX/NOPB","IC OSC SGL TIMER 100KHZ 8-SOIC","","2","0","0.77000","1.54"
"12","2","296-37176-1-ND","SN74LV1T34DBVR","IC BUF NON-INVERT 5.5V SOT23-5","","2","0","0.31000","0.62"
"13","2","CD0603-B0240RCT-ND","CD0603-B0240R","DIODE SCHOTTKY 40V 200MA 0603","","2","0","0.28000","0.56"
"14","2","RB162MM-60CT-ND","RB162MM-60TR","DIODE SCHOTTKY 60V 1A PMDU","","2","0","0.26000","0.52"
"15","20","160-1447-1-ND","LTST-C191KRKT","LED RED CLEAR SMD","","20","0","0.10000","2.00"
"16","2","587-1671-1-ND","NR4018T4R7M","FIXED IND 4.7UH 1.2A 108 MOHM","","2","0","0.28000","0.56"
"17","2","587-1664-1-ND","NR4018T100M","FIXED IND 10UH 840MA 216 MOHM","","2","0","0.28000","0.56"
"18","2","587-1665-6-ND","NR4018T101M","FIXED IND 100UH 270MA 1.8 OHM","","2","0","2.53000","5.06"
"19","30","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","RES 10K OHM 1% 1/8W 0603","","30","0","0.04100","1.23"
"20","10","RR08P1.0KDCT-ND","RR0816P-102-D","RES SMD 1K OHM 0.5% 1/16W 0603","","10","0","0.06000","0.60"
"21","10","RMCF0603FT100RCT-ND","RMCF0603FT100R","RES 100 OHM 1% 1/10W 0603","","10","0","0.01200","0.12"
"22","10","RNCP0603FTD2K21CT-ND","RNCP0603FTD2K21","RES 2.21K OHM 1% 1/8W 0603","","10","0","0.04100","0.41"
"23","10","311-1.37KHRCT-ND","RC0603FR-071K37L","RES SMD 1.37K OHM 1% 1/10W 0603","","10","0","0.01700","0.17"
"24","10","311-2.20KHRCT-ND","RC0603FR-072K2L","RES SMD 2.2K OHM 1% 1/10W 0603","","10","0","0.01700","0.17"
"25","10","1276-1102-1-ND","CL10A105KA8NNNC","CAP CER 1UF 25V X5R 0603","","10","0","0.02600","0.26"
"26","1","S9012E-08-ND","GRPB082VWQS-RC","CONN HEADER SMD 16POS 1.27MM","","1","0","1.11000","1.11"
"27","1","S9012E-04-ND","GRPB042VWQS-RC","CONN HEADER SMD 8POS 1.27MM","","1","0","0.60000","0.60"
